distance,heart_rate,power,temperature,timestamp,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
13951.84,143,171.0,27,2023-05-11 01:35:33,76.0,45.799999999999955,7.166,39.94447320699692,116.42792830243707,0.0,1.0,0.05600000000000005,14.0
13958.9,143,162.0,27,2023-05-11 01:35:34,77.0,46.0,7.231,39.944541016593575,116.42793852835894,2.832861189802548,1.0,0.0649999999999995,-9.0
13973.75,143,135.0,27,2023-05-11 01:35:35,77.0,46.0,7.269,39.94460622780025,116.42794515006244,0.0,1.0,0.038000000000000256,-27.0
13973.75,143,106.0,27,2023-05-11 01:35:36,78.0,46.0,7.269,39.944673869758844,116.42794464714825,0.0,1.0,0.0,-29.0
13988.72,144,106.0,27,2023-05-11 01:35:37,78.0,46.0,7.213,39.944741763174534,116.42793802544475,0.0,1.0,-0.05600000000000005,0.0
13996.05,144,106.0,27,2023-05-11 01:35:38,78.0,46.0,6.923,39.944805884733796,116.4279355108738,0.0,1.0,-0.29000000000000004,0.0
14003.4,144,0.0,27,2023-05-11 01:35:39,78.0,45.799999999999955,6.914,39.94487025775015,116.42793400213122,-2.7210884353746336,1.0,-0.009000000000000341,-106.0
14009.96,144,0.0,27,2023-05-11 01:35:40,78.0,45.799999999999955,6.662,39.9449298530817,116.42793031409383,0.0,1.0,-0.2519999999999998,0.0
14009.96,144,0.0,27,2023-05-11 01:35:41,0.0,45.799999999999955,6.662,39.94498475454748,116.42792369239032,0.0,1.0,0.0,0.0
14021.72,144,0.0,27,2023-05-11 01:35:42,0.0,46.0,5.449,39.94503177702427,116.42791430465877,1.7006802721091987,1.0,-1.213,0.0
14026.77,143,0.0,27,2023-05-11 01:35:43,0.0,46.0,5.197,39.94507787749171,116.4279183279723,0.0,1.0,-0.2519999999999998,0.0
14031.83,143,0.0,27,2023-05-11 01:35:44,0.0,46.200000000000045,5.356,39.9451251514256,116.42793014645576,3.9525691699617704,1.0,0.1589999999999998,0.0
14031.83,143,67.0,27,2023-05-11 01:35:45,62.0,46.39999999999998,5.356,39.94517544284463,116.42793877981603,0.0,1.0,0.0,67.0
14043.25,143,126.0,27,2023-05-11 01:35:46,50.0,46.39999999999998,5.533,39.94522665627301,116.42794506624341,0.0,1.0,0.1770000000000005,59.0
14048.6,143,126.0,27,2023-05-11 01:35:47,50.0,46.39999999999998,5.533,39.945275858044624,116.42795177176595,0.0,1.0,0.0,0.0
14048.6,143,126.0,27,2023-05-11 01:35:48,50.0,46.39999999999998,5.533,39.94532749056816,116.42795420251787,0.0,1.0,0.0,0.0
14060.31,142,167.0,27,2023-05-11 01:35:49,48.0,46.39999999999998,5.822,39.94538038037717,116.42795638181269,0.0,1.0,0.2889999999999997,41.0
14066.23,142,108.0,27,2023-05-11 01:35:50,44.0,46.39999999999998,5.944,39.94543352164328,116.42795864492655,0.0,1.0,0.12199999999999989,-59.0
14072.2,142,126.0,27,2023-05-11 01:35:51,51.0,46.39999999999998,5.99,39.94548716582358,116.4279590640217,0.0,1.0,0.04600000000000026,18.0
14078.45,142,129.0,28,2023-05-11 01:35:52,58.0,46.39999999999998,6.121,39.94554206728935,116.4279609080404,0.0,1.0,0.13100000000000023,3.0
14084.41,141,127.0,27,2023-05-11 01:35:53,62.0,46.39999999999998,6.196,39.945595879107714,116.4279664400965,0.0,1.0,0.07499999999999929,-2.0
14090.39,140,115.0,27,2023-05-11 01:35:54,65.0,46.39999999999998,6.298,39.945651115849614,116.42797004431486,0.0,1.0,0.10200000000000031,-12.0
14090.39,140,127.0,27,2023-05-11 01:35:55,65.0,46.39999999999998,6.298,39.94570853188634,116.42797281034291,0.0,1.0,0.0,12.0
14103.31,139,109.0,27,2023-05-11 01:35:56,67.0,46.39999999999998,6.42,39.94576720520854,116.42797683365643,0.0,1.0,0.12199999999999989,-18.0
14109.58,139,115.0,27,2023-05-11 01:35:57,67.0,46.39999999999998,6.513,39.945825543254614,116.42798127606511,0.0,1.0,0.09299999999999997,6.0
14116.15,140,99.0,27,2023-05-11 01:35:58,68.0,46.39999999999998,6.494,39.94588555768132,116.42798244953156,0.0,1.0,-0.019000000000000128,-16.0
14123.09,140,99.0,27,2023-05-11 01:35:59,68.0,46.39999999999998,6.438,39.94594599120319,116.42797725275159,0.0,1.0,-0.05600000000000005,0.0
14129.87,140,90.0,28,2023-05-11 01:36:00,57.0,46.200000000000045,6.55,39.94600608944893,116.42797398380935,-2.94985250737334,1.0,0.1120000000000001,-9.0
14129.87,140,101.0,27,2023-05-11 01:36:01,51.0,46.200000000000045,6.55,39.94606610387564,116.42797373235226,0.0,1.0,0.0,11.0
14143.15,140,114.0,27,2023-05-11 01:36:02,62.0,46.39999999999998,6.727,39.94612595066428,116.42797255888581,1.5060240963851605,1.0,0.1770000000000005,13.0
14149.84,140,118.0,27,2023-05-11 01:36:03,69.0,46.39999999999998,6.858,39.94618780910969,116.42797155305743,0.0,1.0,0.13099999999999934,4.0
14157.08,140,119.0,27,2023-05-11 01:36:04,71.0,46.39999999999998,6.914,39.94625201448798,116.42797322943807,0.0,1.0,0.05600000000000005,1.0
14163.96,141,91.0,28,2023-05-11 01:36:05,72.0,46.39999999999998,6.886,39.94631454348564,116.42797792330384,0.0,1.0,-0.02799999999999958,-28.0
14170.95,141,91.0,27,2023-05-11 01:36:06,72.0,46.39999999999998,6.83,39.94637740775943,116.42798010259867,0.0,1.0,-0.05600000000000005,0.0
14177.89,141,0.0,27,2023-05-11 01:36:07,72.0,46.39999999999998,6.746,39.94643893092871,116.42797918058932,0.0,1.0,-0.08399999999999963,-91.0
14177.89,141,0.0,28,2023-05-11 01:36:08,72.0,46.39999999999998,6.746,39.9464962631464,116.4279804378748,0.0,1.0,0.0,0.0
14190.83,142,0.0,27,2023-05-11 01:36:09,72.0,46.39999999999998,6.354,39.94655443355441,116.42797817476094,0.0,1.0,-0.39200000000000035,0.0
14190.83,143,0.0,27,2023-05-11 01:36:10,0.0,46.39999999999998,6.354,39.94661143049598,116.42797029577196,0.0,1.0,0.0,0.0
14203.28,143,0.0,27,2023-05-11 01:36:11,0.0,46.39999999999998,6.336,39.94666641578078,116.42795914784074,0.0,1.0,-0.017999999999999794,0.0
14203.28,144,0.0,27,2023-05-11 01:36:12,0.0,46.39999999999998,6.336,39.94672383181751,116.42794456332922,0.0,1.0,0.0,0.0
14216.61,144,83.0,27,2023-05-11 01:36:13,52.0,46.200000000000045,6.653,39.94678342714906,116.42792101018131,-1.5003750937729399,1.0,0.3169999999999993,83.0
14216.61,143,78.0,28,2023-05-11 01:36:14,41.0,46.200000000000045,6.653,39.94684059172869,116.42789259552956,0.0,1.0,0.0,-5.0
14223.38,143,78.0,27,2023-05-11 01:36:15,41.0,46.200000000000045,6.802,39.94689784012735,116.42786610871553,0.0,1.0,0.14900000000000002,0.0
14236.95,143,113.0,27,2023-05-11 01:36:16,61.0,46.39999999999998,6.793,39.946957267820835,116.427838280797,1.4738393515100165,1.0,-0.008999999999999453,35.0
14236.95,143,113.0,27,2023-05-11 01:36:17,61.0,46.39999999999998,6.867,39.947016863152385,116.42780718393624,0.0,1.0,0.07399999999999984,0.0
14251.34,144,113.0,27,2023-05-11 01:36:18,61.0,46.60000000000002,6.886,39.94707562029362,116.42777566798031,1.3898540653235134,1.0,0.019000000000000128,0.0
14258.14,144,0.0,27,2023-05-11 01:36:19,61.0,46.60000000000002,6.849,39.947132617235184,116.42774398438632,0.0,1.0,-0.03699999999999992,-113.0
14265.2,144,0.0,27,2023-05-11 01:36:20,61.0,46.60000000000002,6.783,39.94718994945288,116.42771154642105,0.0,1.0,-0.06599999999999984,0.0
14265.2,144,0.0,27,2023-05-11 01:36:21,61.0,46.39999999999998,6.783,39.947243090718985,116.42767458222806,0.0,1.0,0.0,0.0
14271.81,143,0.0,27,2023-05-11 01:36:22,0.0,46.39999999999998,6.681,39.94729455560446,116.42763275653124,0.0,1.0,-0.10200000000000031,0.0
14278.63,143,0.0,27,2023-05-11 01:36:23,0.0,46.39999999999998,6.615,39.947345182299614,116.4275930263102,0.0,1.0,-0.06599999999999984,0.0
14285.16,143,0.0,27,2023-05-11 01:36:24,0.0,46.39999999999998,6.55,39.94739279150963,116.42754768021405,0.0,1.0,-0.06500000000000039,0.0
14291.75,140,0.0,28,2023-05-11 01:36:25,0.0,46.39999999999998,6.448,39.94743637740612,116.42749881371856,0.0,1.0,-0.10199999999999942,0.0
14298.3,139,0.0,27,2023-05-11 01:36:26,0.0,46.39999999999998,6.336,39.94747920893133,116.42745103687048,0.0,1.0,-0.1120000000000001,0.0
14304.74,138,0.0,27,2023-05-11 01:36:27,0.0,46.39999999999998,6.345,39.94752178899944,116.42740711569786,0.0,1.0,0.008999999999999453,0.0
14310.87,138,0.0,28,2023-05-11 01:36:28,0.0,46.39999999999998,6.373,39.94756327942014,116.42736604437232,0.0,1.0,0.02800000000000047,0.0
14316.44,137,0.0,27,2023-05-11 01:36:29,0.0,46.39999999999998,6.168,39.94760401546955,116.4273207820952,0.0,1.0,-0.20500000000000007,0.0
14322.17,137,0.0,28,2023-05-11 01:36:30,0.0,46.39999999999998,6.074,39.947646763175726,116.42727392725646,0.0,1.0,-0.0940000000000003,0.0
14328.34,137,0.0,27,2023-05-11 01:36:31,0.0,46.39999999999998,6.121,39.94768749922514,116.42722631804645,0.0,1.0,0.0470000000000006,0.0
14334.56,136,0.0,28,2023-05-11 01:36:32,0.0,46.39999999999998,6.018,39.94772840291262,116.42718147486448,0.0,1.0,-0.10300000000000065,0.0
14340.52,136,0.0,27,2023-05-11 01:36:33,0.0,46.39999999999998,5.944,39.947769809514284,116.42714207991958,0.0,1.0,-0.07399999999999984,0.0
14345.9,136,63.0,28,2023-05-11 01:36:34,58.0,46.39999999999998,5.86,39.947816329076886,116.42710050567985,0.0,1.0,-0.08399999999999963,63.0
14351.82,136,52.0,28,2023-05-11 01:36:35,35.0,46.39999999999998,5.981,39.9478673748672,116.42706396058202,0.0,1.0,0.12099999999999955,-11.0
14358.47,136,52.0,27,2023-05-11 01:36:36,35.0,46.39999999999998,5.99,39.94791783392429,116.4270287565887,0.0,1.0,0.009000000000000341,0.0
14365.04,135,52.0,27,2023-05-11 01:36:37,35.0,46.60000000000002,6.074,39.94796854443848,116.42700528725982,3.0441400304413846,1.0,0.08399999999999963,0.0
14371.05,135,52.0,28,2023-05-11 01:36:38,35.0,46.60000000000002,5.962,39.948021518066525,116.4269954804331,0.0,1.0,-0.1120000000000001,0.0
14376.6,135,39.0,28,2023-05-11 01:36:39,24.0,46.60000000000002,5.981,39.94807834737003,116.42699682153761,0.0,1.0,0.019000000000000128,-13.0
14382.62,135,39.0,27,2023-05-11 01:36:40,24.0,46.60000000000002,5.99,39.94813609868288,116.42700579017401,0.0,1.0,0.009000000000000341,0.0
14388.88,134,39.0,28,2023-05-11 01:36:41,24.0,46.60000000000002,5.841,39.94819091632962,116.42701065167785,0.0,1.0,-0.14900000000000002,0.0
