distance,heart_rate,temperature,timestamp,power,cadence,altitude,speed,latitude,longitude,slope,time_diff,acceleration,power_change_rate
13317.11,155,27,2023-06-19 11:40:55,137.0,86.0,37.39999999999998,8.314,39.84795483760536,116.43270783126354,0.0,1.0,0.02800000000000047,18.0
13325.44,155,27,2023-06-19 11:40:56,157.0,86.0,37.39999999999998,8.342,39.847880993038416,116.43270757980645,0.0,1.0,0.02800000000000047,20.0
13333.54,155,27,2023-06-19 11:40:57,163.0,87.0,37.39999999999998,8.351,39.84780438244343,116.43270950764418,0.0,1.0,0.009000000000000341,6.0
13342.0,156,27,2023-06-19 11:40:58,159.0,88.0,37.39999999999998,8.379,39.84772626310587,116.4327135309577,0.0,1.0,0.027999999999998693,-4.0
13350.87,156,27,2023-06-19 11:40:59,159.0,88.0,37.39999999999998,8.37,39.84765116125345,116.43271545879543,0.0,1.0,-0.009000000000000341,0.0
13359.51,156,27,2023-06-19 11:41:00,148.0,88.0,37.200000000000045,8.342,39.84757857397199,116.43271604552865,-2.314814814814181,1.0,-0.027999999999998693,-11.0
13367.53,157,27,2023-06-19 11:41:01,169.0,87.0,37.0,8.351,39.847504729405046,116.43271654844284,-2.493765586035344,1.0,0.009000000000000341,21.0
13375.65,157,27,2023-06-19 11:41:02,192.0,88.0,37.0,8.332,39.84743105247617,116.43271520733833,0.0,1.0,-0.019000000000000128,23.0
13383.77,157,27,2023-06-19 11:41:03,171.0,88.0,37.200000000000045,8.379,39.847355699166656,116.43271604552865,2.4630541871924354,1.0,0.04699999999999882,-21.0
13391.98,158,27,2023-06-19 11:41:04,171.0,88.0,37.200000000000045,8.36,39.847281854599714,116.43271897919476,0.0,1.0,-0.019000000000000128,0.0
13400.23,158,27,2023-06-19 11:41:05,171.0,88.0,37.39999999999998,8.136,39.8472101893276,116.43272258341312,2.4242424242415974,1.0,-0.2240000000000002,0.0
13408.22,158,27,2023-06-19 11:41:06,0.0,88.0,37.39999999999998,7.912,39.8471409548074,116.43272166140378,0.0,1.0,-0.2239999999999993,-171.0
13415.9,158,27,2023-06-19 11:41:07,0.0,88.0,37.60000000000002,7.688,39.847072726115584,116.43271931447089,2.6041666666671603,1.0,-0.2240000000000002,0.0
13423.55,158,27,2023-06-19 11:41:08,0.0,0.0,37.60000000000002,7.549,39.847003323957324,116.4327235892415,0.0,1.0,-0.13899999999999935,0.0
13431.2,158,27,2023-06-19 11:41:09,93.0,71.0,37.60000000000002,7.577,39.846934005618095,116.43273163586855,0.0,1.0,0.02799999999999958,93.0
13438.9,158,27,2023-06-19 11:41:10,146.0,63.0,37.39999999999998,7.623,39.846866112202406,116.43273473717272,-2.597402597403556,1.0,0.04600000000000026,53.0
13446.48,158,27,2023-06-19 11:41:11,169.0,75.0,37.39999999999998,7.642,39.84679821878672,116.43273666501045,0.0,1.0,0.019000000000000128,23.0
13453.85,158,27,2023-06-19 11:41:12,156.0,80.0,37.60000000000002,7.67,39.84672755934298,116.43273792229593,2.713704206241842,1.0,0.02799999999999958,-13.0
13462.12,158,27,2023-06-19 11:41:13,156.0,80.0,37.60000000000002,7.716,39.84666067175567,116.43274404108524,0.0,1.0,0.04600000000000026,0.0
13469.28,158,27,2023-06-19 11:41:14,158.0,81.0,37.60000000000002,7.763,39.84659017995,116.43275074660778,0.0,1.0,0.04699999999999971,2.0
13477.03,158,27,2023-06-19 11:41:15,150.0,82.0,37.799999999999955,7.847,39.84651876613498,116.43275619484484,2.5806451612894423,1.0,0.08400000000000052,-8.0
13485.1,158,27,2023-06-19 11:41:16,162.0,81.0,37.799999999999955,7.912,39.84644743613899,116.43275879323483,0.0,1.0,0.0649999999999995,12.0
13492.93,158,27,2023-06-19 11:41:17,154.0,82.0,37.799999999999955,7.959,39.846376106143,116.4327597990632,0.0,1.0,0.04699999999999971,-8.0
13500.97,158,27,2023-06-19 11:41:18,154.0,84.0,37.799999999999955,7.959,39.84630678780377,116.43276139162481,0.0,1.0,0.0,0.0
13508.62,158,27,2023-06-19 11:41:19,131.0,84.0,38.0,7.95,39.846235290169716,116.43276181071997,2.6143790849674176,1.0,-0.008999999999999453,-23.0
13516.59,158,27,2023-06-19 11:41:20,118.0,85.0,38.0,8.006,39.8461652174592,116.43276466056705,0.0,1.0,0.05600000000000005,-13.0
